TYPE,NAME,REGION
Single malt whisky,Glengoyne,Highland
Single malt whisky,GlenDronach,Highland
Single malt whisky,Glenmorangie,Highland
Single malt whisky,Glen Ord,Highland
Single malt whisky,Royal Lochnagar,Highland
Single malt whisky,Aberfeldy,Highland
Single malt whisky,Oban,Highland
Single malt whisky,Glenkinchie,Lowland
Single malt whisky,Auchentoshan,Lowland
Single malt whisky,Bladnoch,Lowland
Single malt whisky,Rosebank,Lowland
Single malt whisky,Springbank,Campbelltown
Single malt whisky,Longlow,Campbelltown
Single malt whisky,Hazelburn,Campbelltown
Single malt whisky,Kilkerran,Campbelltown
Single malt whisky,Lagavulin,Islay
Single malt whisky,Laphroaig,Islay
Single malt whisky,Bowmore,Islay
Single malt whisky,Bunahabhain,Islay
Single malt whisky,Bruichladdich,Islay
Single malt whisky,Ardbeg,Islay
Single malt whisky,Caol Ila,Islay
Single malt whisky,Kilchoman,Islay
Single malt whisky,Port Ellen,Islay
Single malt whisky,Glen Grant,Speyside
Single malt whisky,Glendullan,Speyside
Single malt whisky,The Glenlivet,Speyside
Single malt whisky,Glenburgie,Speyside
Single malt whisky,Glen Elgin,Speyside
Single malt whisky,Glentauchers,Speyside
Single malt whisky,Glenfarclas,Speyside
Single malt whisky,Glenfiddich,Speyside
Single malt whisky,Dufftown,Speyside
Single malt whisky,Linkwood,Speyside
Single malt whisky,The Macallan,Speyside
Single malt whisky,Mortlach,Speyside
Single malt whisky,Miltonduff,Speyside
Single malt whisky,Balvenie,Speyside
Single malt whisky,BenRiach,Speyside
Single malt whisky,Cardhu,Speyside
Single malt whisky,Cragganmore,Speyside
